1. predict =  -2.461549458481201 	 test = 1
66. predict =  3.1687113573252965 	 test = 2
67. predict = -1.9097928329745795 	 test = 2
68. predict =  11.998465199125635 	 test = 2
69. predict =  0.5769228629590426 	 test = 2
70. predict =  14.24990174974369  	 test = 2
71. predict = 0.40313443140382255 	 test = 2
72. predict =  1.9501283850368747 	 test = 2
73. predict =  1.1692172240492447 	 test = 2
74. predict = -22.804073175899397 	 test = 2
75. predict =  4.410077806766722  	 test = 2
76. predict =  1.0049157484194087 	 test = 2
77. predict =  2.127274122895553  	 test = 2
78. predict =  0.6191941719921061 	 test = 2
79. predict =   6.78508792131203  	 test = 2
80. predict =  2.311332317611944  	 test = 2
81. predict =  -7.773433610004124 	 test = 2
82. predict = -2.4348535612963698 	 test = 2
83. predict =  2.2537401387676628 	 test = 2
84. predict =  1.2755251248938535 	 test = 2
85. predict =  9.411406626376131  	 test = 2
86. predict = -3.1315320781054883 	 test = 2
87. predict =  4.147443858530178  	 test = 2
88. predict =  4.083443586246064  	 test = 2
89. predict =  2.724619868381918  	 test = 2
90. predict =  11.211057416551544 	 test = 2
91. predict =  17.694306531111245 	 test = 2
92. predict = -7.0927313801509655 	 test = 2
93. predict =  3.819579551265047  	 test = 2
94. predict =   17.8009855014391  	 test = 2
95. predict = -3.7236672221823763 	 test = 2
96. predict =  -8.090197761081459 	 test = 2
97. predict =  12.262808469795912 	 test = 2
98. predict =  4.659695910226027  	 test = 2
99. predict =  2.3298780244916006 	 test = 2
100. predict =  8.802265648693115  	 test = 2
101. predict =  -1.054753338553457 	 test = 3
102. predict =  2.8988782656833347 	 test = 3
103. predict = -12.200178434049164 	 test = 3
104. predict = -0.22053248329810593	 test = 3
105. predict =  8.471934471119837  	 test = 3
106. predict =  1.593415528405604  	 test = 3
107. predict =  15.23811809714396  	 test = 3
108. predict =  8.536147288810989  	 test = 3
109. predict =  2.390441267696287  	 test = 3
110. predict =  21.027892035323802 	 test = 3
111. predict =  2.3347970683659938 	 test = 3
112. predict =  15.985396002157984 	 test = 3
113. predict =  9.155531311320193  	 test = 3
114. predict =  56.60144488751478  	 test = 3
115. predict =  -4.929596901165823 	 test = 3
116. predict =  14.451483754544649 	 test = 3
117. predict = -28.005912619357666 	 test = 3
118. predict =  4.088848208875341  	 test = 3
119. predict =  17.866182002526806 	 test = 3
120. predict =   -6.1240631524622  	 test = 3
121. predict =  -8.773045586702368 	 test = 3
122. predict =  -6.796928562768226 	 test = 3
123. predict =  5.521677835942041  	 test = 3
124. predict = -1.0724130324866294 	 test = 3
125. predict =  -5.123236565772563 	 test = 3
126. predict =  -5.662176080481214 	 test = 3
127. predict =  5.600578570584146  	 test = 3
128. predict =   2.43984487407133  	 test = 3
129. predict =  8.240736829414203  	 test = 3
130. predict =  -3.304847800726174 	 test = 3
131. predict =  14.876998540332306 	 test = 3
132. predict =  20.684342260731643 	 test = 3
133. predict =  5.450551115170658  	 test = 3
134. predict =   7.71662051967578  	 test = 3
135. predict =  -4.066827969267431 	 test = 3
136. predict =  3.6390748964085464 	 test = 3
137. predict = -3.4315779668364286 	 test = 3
138. predict =  7.913311025593847  	 test = 3
139. predict =  0.3186934205340446 	 test = 3
140. predict =  2.0065426900026733 	 test = 3
141. predict = -5.8005189614504165 	 test = 3
142. predict =  15.04384358215611  	 test = 3
143. predict =  5.154011602930986  	 test = 3
144. predict =  6.386887163469218  	 test = 3
145. predict =  -8.868591636166164 	 test = 3
146. predict =  0.5208087537025161 	 test = 3
147. predict = -1.0973182068889629 	 test = 3
148. predict =  27.96381253482957  	 test = 3
149. predict =  9.341989141539544  	 test = 3
150. predict =  6.370017374199678  	 test = 3
151. predict =  -8.154321102591403 	 test = 4
152. predict =   1.95500147391461  	 test = 4
153. predict =  10.453131806230807 	 test = 4
154. predict = -0.8271765769667909 	 test = 4
155. predict =  5.4747590884204484 	 test = 4
156. predict =  7.359556677261521  	 test = 4
157. predict =  18.036195288468498 	 test = 4
158. predict =  4.9914013950492375 	 test = 4
159. predict =  2.833428896857507  	 test = 4
160. predict = -2.9933351830326558 	 test = 4
161. predict =  -2.60452556582294  	 test = 4
162. predict =  -12.12514458834968 	 test = 4
163. predict =  4.170407341469583  	 test = 4
164. predict =  4.229817021417621  	 test = 4
165. predict =  10.743104340482281 	 test = 4
166. predict = -1.0131165508807438 	 test = 4
167. predict =  3.7878543569124097 	 test = 4
168. predict =  13.457500495533656 	 test = 4
169. predict =  2.360919972488631  	 test = 4
170. predict =  1.5633109491028172 	 test = 4
171. predict =  7.172492415869742  	 test = 4
172. predict =  8.889384605817913  	 test = 4
173. predict =  -21.03575545644344 	 test = 4
174. predict =  1.6993905111949665 	 test = 4
175. predict =  14.453648354643565 	 test = 4
176. predict =  0.8905285120695239 	 test = 4
177. predict =  5.993981277375175  	 test = 4
178. predict =  15.637607016251144 	 test = 4
179. predict =  22.760662254225707 	 test = 4
180. predict =  -16.58614265446427 	 test = 4
181. predict =  4.372407979753241  	 test = 4
182. predict =  5.4500746727936225 	 test = 4
183. predict = -0.18764753498185716	 test = 4
184. predict =  0.6039240655521172 	 test = 4
185. predict =  -4.726010798455587 	 test = 4
186. predict =  2.903329002324199  	 test = 4
187. predict =  -3.993201513293597 	 test = 4
188. predict =  7.471531271212138  	 test = 4
189. predict =  16.856250108718857 	 test = 4
190. predict =  3.777865550969601  	 test = 4
191. predict =  1.6784759533442788 	 test = 4
192. predict =  3.0594087438754003 	 test = 4
193. predict =  11.02861616994685  	 test = 4
194. predict = 0.48486198208763254 	 test = 4
195. predict = -1.3880909371573438 	 test = 4
196. predict =  18.264821715490633 	 test = 4
197. predict = -0.7367870832871461 	 test = 4
198. predict =  15.445517411517697 	 test = 4
199. predict =  2.5981025792980943 	 test = 4
200. predict =  -9.721930971808945 	 test = 4
201. predict =  4.083041404531592  	 test = 5
202. predict =  6.852942070172212  	 test = 5
203. predict =  2.779187653016777  	 test = 5
204. predict =  12.73610837907258  	 test = 5
205. predict =  1.5597467255238704 	 test = 5
206. predict =  11.165105404774529 	 test = 5
207. predict =  22.642030920967088 	 test = 5
208. predict =  6.129496675678228  	 test = 5
209. predict =  3.4341087552866076 	 test = 5
210. predict = -0.48494528775079937	 test = 5
211. predict = -0.6698948097289339 	 test = 5
212. predict =  3.437360727840563  	 test = 5
213. predict =  5.769752454548769  	 test = 5
214. predict =  0.5605725227032536 	 test = 5
215. predict =  9.230772162749599  	 test = 5
216. predict =  17.586217077902333 	 test = 5
217. predict =  7.761344677922233  	 test = 5
218. predict =  4.374242921468587  	 test = 5
219. predict = -1.4459544058254643 	 test = 5
220. predict =  26.97029956181591  	 test = 5
221. predict =  4.311415152521121  	 test = 5
222. predict =  1.7661851898521106 	 test = 5
223. predict =  4.939026777912764  	 test = 5
224. predict =  -21.03575545644344 	 test = 5
225. predict = -1.2609098834673595 	 test = 5
226. predict = -0.06054231412870248	 test = 5
227. predict =  6.306423487855302  	 test = 5
228. predict = 0.17695440231376036 	 test = 5
229. predict =  -4.089665454623655 	 test = 5
230. predict =  7.367636099436506  	 test = 5
231. predict =  2.477279310661784  	 test = 5
232. predict =  4.205740199386323  	 test = 5
233. predict =  0.6355660341442606 	 test = 5
234. predict =  4.291466290277036  	 test = 5
235. predict = 0.02646246258060847 	 test = 5
236. predict =  6.446357045140914  	 test = 5
237. predict =  0.5875159614442929 	 test = 5
238. predict =  6.366381079128832  	 test = 5
239. predict = -10.208016695692233 	 test = 5
240. predict =  -7.140617772681114 	 test = 5
241. predict =  6.0611510325239735 	 test = 5
242. predict =  19.61612174753126  	 test = 5
243. predict =  -7.992194549088765 	 test = 5
244. predict =  6.012060169728973  	 test = 5
245. predict = -3.3664115428748875 	 test = 5
246. predict =  11.142986701624565 	 test = 5
247. predict =  8.772159148272474  	 test = 5
248. predict =  -9.134122893230556 	 test = 5
249. predict =   2.62770907264517  	 test = 5
250. predict =  -5.282952476341329 	 test = 5
